"排序",具体职务,现届,下届,下下届,总分,省委书记加分,职位得分
1,北京书记,100. 00,50. 00,10. 00,160. 00,22. 12,182. 12
1,上海书记,100. 00,55. 00,5. 00,160. 00,22. 12,182. 12
1,广东书记,100. 00,46. 67,13. 33,160. 00,22. 12,182. 12
4,天津书记,69. 00,40. 00,0. 00,109. 00,22. 12,131. 12
5,山东书记,30. 25,32. 35,5. 00,67. 60,22. 12,89. 72
6,重庆书记,38. 00,24. 12,1. 33,63. 45,22. 12,85. 57
7,新疆书记,38. 00,13. 33,0. 00,51. 33,22. 12,73. 45
8,浙江书记,7. 00,31. 18,6. 00,44. 18,22. 12,66. 30
9,四川书记,32. 00,11. 18,0. 80,43. 98,22. 12,66. 10
10,辽宁书记,7. 00,26. 18,5. 00,38. 18,22. 12,60. 30
11,湖北书记,25. 60,4. 94,4. 00,34. 54,22. 12,56. 66
12,河南书记,7. 00,21. 88,4. 64,33. 52,22. 12,55. 64
13,吉林书记,7. 00,10. 00,5. 00,22. 00,22. 12,44. 12
14,陕西书记,7. 00,12. 35,2. 00,21. 35,22. 12,43. 47
"排序",具体职务,现届,下届,下下届,总分,省委书记加分,职位得分
15,江苏书记,7. 00,8. 94,1. 60,17. 54,22. 12,39. 66
16,广西书记,7. 00,8. 23,0. 00,15. 23,22. 12,37. 35
17,安徽书记,7. 00,5. 68,1. 33,14. 02,22. 12,36. 14
18,青海书记,7. 00,4. 70,2. 08,13. 78,22. 12,35. 90
19,内蒙古书记,7. 00,6. 67,0. 00,13. 67,22. 12,35. 79
20,福建书记,7. 00,6. 18,0. 00,13. 18,22. 12,35. 30
20,贵州书记,7. 00,6. 18,0. 00,13. 18,22. 12,35. 30
20,湖南书记,7. 00,6. 18,0. 00,13. 18,22. 12,35. 30
23,西藏书记,7. 00,4. 70,1. 44,13. 14,22. 12,35. 26
24,海南书记,5. 83,4. 12,0. 67,10. 62,22. 12,32. 74
25,江西书记,7. 00,1. 57,1. 33,9. 90,22. 12,32. 02
26,黑龙江书记,7. 00,2. 35,0. 00,9. 35,22. 12,31. 47
26,山西书记,7. 00,2. 35,0. 00,9. 35,22. 12,31. 47
28,河北书记,7. 00,1. 57,0. 53,9. 10,22. 12,31. 22
29,甘肃书记,7. 00,1. 88,0. 00,8. 88,22. 12,31. 00
30,云南书记,7. 00,1. 57,0. 00,8. 57,22. 12,30. 69
30,宁夏书记,7. 00,1. 57,0. 00,8. 57,22. 12,30. 69
"",平均数,22. 12,14. 63,2. 29,39. 04,,
"排序",具体职务,现届,下届,下下届,总分,省长加分,职位总分
1,北京市长,30. 25,40. 00,11. 00,81. 25,7. 58,88. 83
2,上海市长,7. 00,14. 90,0. 00,21. 90,7. 58,29. 48
3,福建省长,7. 00,6. 82,8. 00,21. 82,7. 58,29. 40
4,河南省长,7. 00,4. 10,5. 00,16. 10,7. 58,23. 68
5,辽宁省长,7. 00,7. 35,0. 00,14. 35,7. 58,21. 93
6,黑龙江省长,7. 00,6. 82,0. 00,13. 82,7. 58,21. 40
7,青海省长,7. 00,4. 70,1. 28,12. 98,7. 58,20. 56
8,广西主席,7. 00,4. 70,1. 07,12. 77,7. 58,20. 35
8,天津市长,7. 00,4. 70,1. 07,12. 77,7. 58,20. 35
8,新疆主席,7. 00,4. 70,1. 07,12. 77,7. 58,20. 35
11,河北省长,7. 00,5. 54,0. 00,12. 54,7. 58,20. 12
12,湖南省长,7. 00,4. 70,0. 53,12. 23,7. 58,19. 81
13,内蒙古主席,7. 00,3. 53,1. 60,12. 13,7. 58,19. 71
14,甘肃省长,7. 00,4. 70,0. 00,11. 70,7. 58,19. 28
14,江苏省长,7. 00,4. 70,0. 00,11. 70,7. 58,19. 28
16,吉林省长,7. 00,3. 76,0. 00,10. 76,7. 58,18. 34
17,浙江省长,7. 00,3. 13,0. 00,10. 13,7. 58,17. 71
18,安徽省长,5. 83,3. 13,1. 07,10. 03,7. 58,17. 61
"排序",具体职务,现届,下届,下下届,总分,省长加分,职位总分
19,湖北省长,7. 00,2. 82,0. 00,9. 82,7. 58,17. 40
19,陕西省长,7. 00,2. 82,0. 00,9. 82,7. 58,17. 40
21,贵州省长,7. 00,1. 88,0. 64,9. 52,7. 58,17. 10
22,海南省长,7. 00,2. 35,0. 00,9. 35,7. 58,16. 93
22,山西省长,7. 00,2. 35,0. 00,9. 35,7. 58,16. 93
22,重庆市长,7. 00,2. 35,0. 00,9. 35,7. 58,16. 93
25,山东省长,5. 25,2. 35,1. 00,8. 60,7. 58,16. 18
26,广东省长,7. 00,1. 57,0. 00,8. 57,7. 58,16. 15
27,江西省长,7. 00,1. 18,0. 00,8. 18,7. 58,15. 76
27,云南省长,7. 00,1. 18,0. 00,8. 18,7. 58,15. 76
29,西藏主席,4. 67,1. 57,1. 07,7. 30,7. 58,14. 88
30,宁夏主席,7. 00,0. 00,0. 00,7. 00,7. 58,14. 58
30,四川省长,7. 00,0. 00,0. 00,7. 00,7. 58,14. 58
"",平均数,7. 58,4. 98,1. 11,13. 67,,
